Group Name,Group ID,Photo ID,Order in Group,Photo Title,Username,Time Uploaded to Flickr,Time Added to Group,First Four Tags,Number of Views,Number of Faves,User ID,User Total Number of Photos,Pro Membership,Earliest Activity on Flickr,Date Joined Flickr,Number of Contacts,Location
beautifulcapture,347276@N23,8895586084,29,ninbbvfa5,Visual Diary - Architecture / everything,2013-05-30 17:04:15,2013-06-03 17:15:20,[],3,0,79695786@N04,3815,1,2012-05-01 16:13:14,2012-05-01 15:59:47,156,
beautifulcapture,347276@N23,8716209673,30,Mallorca,Höfkes,2013-05-07 05:29:41,2013-06-03 17:12:06,"[nature, sea, mallorca, formentor]",89,4,94478733@N04,47,0,2013-03-31 15:21:42,2013-03-28 21:06:51,6,
beautifulcapture,347276@N23,8935156871,31,Hudson River Bench View,Eddie C3,2013-06-03 07:34:06,2013-06-03 17:10:09,"[newyorkcity, benches, benchmonday, riverbankstatepark]",16,5,33255932@N04,630,1,2009-12-02 10:29:56,2008-12-10 17:51:09,647,"New York City, USA"
beautifulcapture,347276@N23,8941058779,32,Smile Wide,Prescott Devinney,2013-06-03 16:49:41,2013-06-03 17:09:53,[],9,1,29066067@N02,171,1,2011-03-26 23:14:49,2008-07-29 12:05:03,1165,Ventura
beautifulcapture,347276@N23,8941162269,33,Antrim Coast-1-33,duanebryars,2013-06-03 17:07:32,2013-06-03 17:07:45,"[northernireland, ulster, ireland, britain]",9,2,7641386@N08,576,1,2007-03-30 07:25:37,2007-03-30 07:19:20,99,"Portadown, Northern Ireland"
beautifulcapture,347276@N23,8941214043,34,L'infinito,senzaposta,2013-06-03 17:07:16,2013-06-03 17:07:19,"[cielo, clouds, collina, colline]",4,0,37745481@N07,43,0,2009-06-02 11:50:39,2009-04-24 20:05:26,53,"Pisa, Italia"
beautifulcapture,347276@N23,8941188527,35,Waka and Skytower,Tracy Christina,2013-06-03 17:04:16,2013-06-03 17:07:13,"[waka, skytower, rugbyworldcup2011, auckland]",7,2,74511311@N07,188,1,2012-01-20 16:03:30,2012-01-16 20:34:35,97,
beautifulcapture,347276@N23,8941714844,36,,the sakabatou,2013-06-03 16:54:10,2013-06-03 17:04:04,[],8,0,69310862@N02,159,0,2012-02-07 14:03:27,2011-11-01 15:51:04,140,
beautifulcapture,347276@N23,8941777668,37,Smith Mountain Lake Sunset,Bill's 5 B's Plus,2013-06-03 17:00:29,2013-06-03 17:03:10,"[sml, nature, sunset]",10,0,89666969@N00,2442,1,2007-06-13 14:08:56,2006-11-13 14:38:46,53,
beautifulcapture,347276@N23,8941129665,38,海辺の公園_P6020009,tobi911,2013-06-03 16:57:24,2013-06-03 17:00:56,"[jun, 2013, green]",11,0,64024626@N00,4168,1,2005-04-03 07:07:40,2005-04-03 06:52:43,737,
beautifulcapture,347276@N23,8851189043,39,Greenfinch,GemElle Photography,2013-05-27 03:18:35,2013-06-03 17:00:22,"[gemelle, gemelle1, goldfinch, greenfinch]",25,2,58847878@N07,1386,1,2011-02-05 14:03:11,2011-01-28 06:51:27,245,
beautifulcapture,347276@N23,8941752578,40,This is it,waltmanNZ,2013-06-03 16:58:41,2013-06-03 16:59:46,"[people, landscape, beach, karekare]",13,2,65978074@N08,193,1,2011-08-02 04:02:05,2011-08-02 04:00:11,110,"Auckland, New Zealand"
beautifulcapture,347276@N23,8937942435,41,"St Botolph's Church, Culpho",DaveJC90,2013-06-03 11:59:12,2013-06-03 16:58:02,"[suffolk, view, landscape, village]",25,0,33607628@N02,3304,1,2008-12-23 07:55:22,2008-12-23 07:53:24,261,"Ipswich, United Kingdom"
beautifulcapture,347276@N23,5163923738,42,Julia D. 4,Taylor-Claiborne,2010-11-10 04:20:31,2013-06-03 16:57:10,"[female, modeling, studio, lighting]",86,1,35259838@N06,259,1,2009-09-16 00:54:47,2009-02-09 22:07:50,51,"Peoria, United States"
beautifulcapture,347276@N23,8941699934,43,Reflet d'un instant,phidel60,2013-06-03 16:56:21,2013-06-03 16:56:27,"[france, finist\xc3\xa8re, reflection, reflet]",13,2,79067597@N05,229,0,2012-04-15 10:31:03,2012-04-15 10:12:55,42,
beautifulcapture,347276@N23,8941626996,44,Em algum lugar de Guarapari/ES www.facebook.com/fotografiaserly,Erly Nunes Machado facebook.com/fotografiaserly,2013-06-03 16:43:53,2013-06-03 16:51:15,"[nikkor1855mmf3556gvr, nikond5000, brasil, praia]",16,5,46621007@N05,3115,1,2010-01-17 12:27:25,2010-01-16 19:55:29,2308,"Guarapari - ES, Brasil"
beautifulcapture,347276@N23,8940970167,45,I ♥ NY,. Marzo | Photography .,2013-06-03 16:50:24,2013-06-03 16:50:34,"[city, cityscape, cityskyline, cityview]",37,5,54387456@N07,517,1,2010-09-29 16:18:34,2010-09-29 14:47:32,1432,
beautifulcapture,347276@N23,8939561223,46,Chosen to shine,bonjshar,2013-06-03 14:31:30,2013-06-03 16:50:00,[],8,2,45462284@N00,3403,1,2006-10-21 16:19:54,2006-01-03 10:06:06,113,
beautifulcapture,347276@N23,8941040674,47,"""A sailing vessel is alive in a way that no ship with mechanical power ever can be.""  Aubrey de Selincourt",ZacharyTurner,2013-06-03 15:47:42,2013-06-03 16:49:53,[],3,2,69689665@N02,507,1,2011-11-11 14:47:56,2011-11-11 14:34:30,122,"Watch Hill, RI., US"
beautifulcapture,347276@N23,8941042326,48,"""Kipany & Watch Hill 15's"" Sunset ~ Watch Hill, RI.",ZacharyTurner,2013-06-03 15:47:41,2013-06-03 16:49:52,[],10,2,69689665@N02,507,1,2011-11-11 14:47:56,2011-11-11 14:34:30,122,"Watch Hill, RI., US"
beautifulcapture,347276@N23,8936569477,49,Love potion #9 (2013),Aviones Plateados,2013-06-03 09:51:17,2013-06-03 16:49:49,"[love, potion, clovers, amor]",12,7,49431618@N07,204,0,2010-04-19 15:39:45,2010-04-19 15:36:02,135,Mi patria en mis zapatos
beautifulcapture,347276@N23,8877181407,50,Longdendale Trail,Zill Niazi,2013-05-29 06:25:22,2013-06-03 16:49:48,[],123,21,45162092@N00,1590,1,2006-08-21 08:33:14,2006-08-18 09:30:18,93,"Reach me at: 0741 272 3939, UK"
beautifulcapture,347276@N23,8940999365,51,Spider looking,*(Ian)* - Ian Howard,2013-06-03 16:47:55,2013-06-03 16:48:08,"[zebra, jump, jumping, spiders]",21,11,62320026@N04,1031,1,2011-04-29 13:58:31,2011-04-29 13:26:52,8465,
beautifulcapture,347276@N23,8916990750,52,contempla,mati_garrido,2013-06-01 16:25:24,2013-06-03 16:46:42,[],41,7,67409152@N07,303,0,2011-09-12 19:14:31,2011-09-11 15:52:23,57,
beautifulcapture,347276@N23,8915858667,53,Dreaming Together,Luciane Huffel,2013-06-01 15:25:54,2013-06-03 16:44:37,"[yago, elianesouza, casal, couple]",30,9,26597833@N07,619,0,2008-05-23 07:47:30,2008-05-15 07:50:03,417,"Porto Alegre, Brasil"
beautifulcapture,347276@N23,8940972827,54,moving forest,silent witnesses,2013-06-03 16:40:24,2013-06-03 16:43:41,[movingforestberrieleijtensilentwitnesses],12,0,45996423@N03,294,1,2010-07-31 10:14:10,2009-12-28 12:28:41,202,the netherlands
beautifulcapture,347276@N23,8936488104,55,Dome of St. Peter's Basilica at Dusk.jpg,nydavid1234,2013-06-03 08:26:41,2013-06-03 16:43:31,"[nydavid1234, d600, rome, vaticancity]",3,1,18645975@N08,358,1,2007-12-04 17:39:54,2007-11-06 13:19:23,20,"New York, USA"
beautifulcapture,347276@N23,8928693989,56,The Great Plains of Berkshire,maistora,2013-06-02 16:29:17,2013-06-03 16:42:07,"[landscape, flat, distance, horizon]",93,12,14838182@N00,3088,1,2005-08-16 18:18:49,2005-08-16 18:06:00,784,"Reading, UK"
beautifulcapture,347276@N23,8937268065,57,Elland Park Wood.,Portlandbill,2013-06-03 10:51:02,2013-06-03 16:40:36,[flickrandroidapp:filter=none],49,1,92319881@N00,10038,1,2006-05-14 06:55:26,2006-05-13 07:25:30,1130,"Hebden Bridge, West Yorkshire, UK"
beautifulcapture,347276@N23,8939698253,58,225,vit',2013-06-03 14:57:59,2013-06-03 16:38:33,"[momument, valley, usa, blackwhite]",3,1,30616966@N08,121,0,2008-09-20 10:17:31,2008-09-15 18:21:41,213,Switzerland
beautifulcapture,347276@N23,8940901541,59,Il futuro non è scritto.,Partenope;V,2013-06-03 16:38:08,2013-06-03 16:38:09,"[analogica, analogic, analogical, 365analogicaldays]",38,6,55313825@N08,522,1,2010-10-30 06:49:14,2010-10-29 07:30:30,609,"Napoli , Italia"
beautifulcapture,347276@N23,8941249946,60,,CroytaqueCie,2013-06-03 16:06:28,2013-06-03 16:37:48,"[smitlap, kruzenshtern, dance, photography]",24,1,48357417@N07,5820,1,2010-03-13 10:24:02,2010-03-13 10:20:03,865,"Dunkerque, France"
beautifulcapture,347276@N23,8905170982,61,AUX PIEDS,VSK PHOTOGRAPHY,2013-05-31 16:01:40,2013-06-03 16:37:37,"[vsk, vskproductions, vskphotography, vskkreyol]",16,1,53509191@N02,4985,1,2010-08-31 10:14:58,2010-08-31 08:55:43,84,
beautifulcapture,347276@N23,8941352290,62,Peter,CamerOB,2013-06-03 16:15:53,2013-06-03 16:37:06,"[boat, transport, river, water]",4,2,55648601@N06,890,1,2010-11-07 08:05:23,2010-11-07 07:41:54,93,"North Brabant, Nederland - Netherlands"
beautifulcapture,347276@N23,8927991438,63,DSC_0472,Y û r,2013-06-02 14:26:29,2013-06-03 16:36:55,[],67,13,95571099@N02,36,1,2013-05-08 11:12:05,2013-05-08 11:03:51,149,
beautifulcapture,347276@N23,8940904063,64,The Window,Valt3r Rav3ra - DEVOted!,2013-06-03 16:36:24,2013-06-03 16:36:45,"[nikond7000, nikon, digitale, colori]",4,2,34112414@N07,2993,1,2009-01-07 16:32:08,2009-01-07 16:12:43,1021,"Valenza - Piemonte, Italy"
beautifulcapture,347276@N23,8941523406,65,The Window,Valt3r Rav3ra - DEVOted!,2013-06-03 16:36:23,2013-06-03 16:36:44,"[nikond7000, nikon, digitale, colori]",4,1,34112414@N07,2993,1,2009-01-07 16:32:08,2009-01-07 16:12:43,1021,"Valenza - Piemonte, Italy"
beautifulcapture,347276@N23,8824127828,66,DSC_0205,Y û r,2013-05-25 05:45:10,2013-06-03 16:36:42,[],70,20,95571099@N02,36,1,2013-05-08 11:12:05,2013-05-08 11:03:51,149,
beautifulcapture,347276@N23,8851682517,67,Blue Tit in White Blossom Tree 2,GemElle Photography,2013-05-27 04:22:45,2013-06-03 16:35:32,"[gemelle, gemelle1, nikon, d600]",65,7,58847878@N07,1386,1,2011-02-05 14:03:11,2011-01-28 06:51:27,245,
beautifulcapture,347276@N23,8940824655,68,Тимур,radimake,2013-06-03 16:24:32,2013-06-03 16:35:10,[],1,0,90795266@N05,495,0,2012-12-05 14:14:11,2012-12-05 13:59:29,13,"Санкт-Петербург, Россия"
beautifulcapture,347276@N23,8940822795,69,_1030732,radimake,2013-06-03 16:24:40,2013-06-03 16:35:10,[],3,1,90795266@N05,495,0,2012-12-05 14:14:11,2012-12-05 13:59:29,13,"Санкт-Петербург, Россия"
beautifulcapture,347276@N23,8940667719,70,Santo Volto,Tommaso Petruzzi ,2013-06-03 16:33:56,2013-06-03 16:35:07,[],24,2,36756799@N02,201,0,2009-03-26 05:59:00,2009-03-26 04:55:00,557,
beautifulcapture,347276@N23,8941195192,71,MiTo,Tommaso Petruzzi ,2013-06-03 16:33:55,2013-06-03 16:35:06,"[alfaromeo, alfa, romeo, mito]",12,0,36756799@N02,201,0,2009-03-26 05:59:00,2009-03-26 04:55:00,557,
beautifulcapture,347276@N23,8940884819,72,DSC_2809,@stebarza,2013-06-03 16:30:39,2013-06-03 16:33:26,[],10,1,64322964@N04,121,1,2012-03-09 06:23:58,2011-06-21 06:03:15,25,
beautifulcapture,347276@N23,8941424652,73,Odd One Out?.,arkle92,2013-06-03 16:22:50,2013-06-03 16:30:39,[],0,0,33152408@N02,154,0,2012-11-24 13:41:56,2008-12-08 11:36:16,104,"norfolk, united kingdom"
beautifulcapture,347276@N23,8868278328,74,Bowing Down.,arkle92,2013-05-28 10:37:39,2013-06-03 16:30:39,[],6,0,33152408@N02,154,0,2012-11-24 13:41:56,2008-12-08 11:36:16,104,"norfolk, united kingdom"
beautifulcapture,347276@N23,8937915798,75,Pink Purslane.,Portlandbill,2013-06-03 10:53:22,2013-06-03 16:29:57,"[flickrandroidapp:filter=none, pink, purslane, colour]",79,0,92319881@N00,10038,1,2006-05-14 06:55:26,2006-05-13 07:25:30,1130,"Hebden Bridge, West Yorkshire, UK"
beautifulcapture,347276@N23,8940675691,76,Benjamin's Creed,kjerrellimages (Kevin W. Jerrell),2013-06-03 16:29:49,2013-06-03 16:29:51,"[churches, steeples, foundingfathers, quotes]",5,0,36599815@N02,339,1,2009-03-21 22:07:45,2009-03-21 19:35:58,146,"Rose Hill, Va., USA"
beautifulcapture,347276@N23,8898593456,77,Rainy,Andrés Fuentes 82,2013-05-31 00:02:56,2013-06-03 16:29:27,[],6,0,93953827@N04,226,0,2013-03-15 01:06:33,2013-03-10 18:53:55,22,
beautifulcapture,347276@N23,8919546074,78,Tomb,Andrés Fuentes 82,2013-06-01 21:57:03,2013-06-03 16:29:26,[],1,0,93953827@N04,226,0,2013-03-15 01:06:33,2013-03-10 18:53:55,22,
beautifulcapture,347276@N23,4268787387,79,- Cervera i la neu -,xavipat,2010-01-12 11:30:47,2013-06-03 16:23:52,"[xavipat, canon, 350d, cervera]",169,1,8853038@N04,507,1,2007-06-16 05:40:34,2007-06-12 14:17:36,181,Sabadell
beautifulcapture,347276@N23,8799734047,80,Schloss V,MGness_,2013-05-24 00:21:44,2013-06-03 16:23:38,"[urbex, urbexery, lost, place]",71,9,83003800@N06,469,1,2012-08-12 08:00:41,2012-07-19 04:26:26,243,
beautifulcapture,347276@N23,8901172183,81,,hoeper,2013-05-31 08:37:23,2013-06-03 16:23:26,"[paulo, hoeper, paulohoeper, nikon]",50,0,33012730@N04,1497,1,2009-08-22 02:41:08,2008-12-02 23:50:57,80,
beautifulcapture,347276@N23,8901165161,82,,hoeper,2013-05-31 08:37:22,2013-06-03 16:23:25,"[paulo, hoeper, paulohoeper, nikon]",33,0,33012730@N04,1497,1,2009-08-22 02:41:08,2008-12-02 23:50:57,80,
beautifulcapture,347276@N23,8941416832,83,assisi arcobaleno e fulmin1920i,M. Bececco,2013-06-03 16:22:35,2013-06-03 16:22:39,[],19,3,60552775@N04,168,0,2011-06-12 05:16:25,2011-03-13 08:59:40,550,"Bastia Umbra, Italia"
beautifulcapture,347276@N23,8927561530,84,Little man,jajasmin,2013-06-02 13:49:09,2013-06-03 16:21:22,"[hdr, boy, sarajevo, bosnia]",22,0,73508357@N00,191,0,2005-08-05 05:08:32,2005-08-04 15:56:21,141,"Sarajevo, BIH"
beautifulcapture,347276@N23,8941374686,85,Ofe,Raúl Barrero,2013-06-03 16:17:56,2013-06-03 16:21:17,"[wedding, boda, novia, chica]",12,1,47633122@N08,398,1,2010-02-15 10:29:05,2010-02-15 07:04:52,185,España
beautifulcapture,347276@N23,8323810878,86,cliffs of moher - Ireland,haydee almayer,2012-12-29 16:53:03,2013-06-03 16:20:22,"[cliffs, moher, ireland, galway]",91,3,67890155@N04,118,1,2012-12-29 16:18:34,2011-09-24 15:53:50,130,
beautifulcapture,347276@N23,8940673157,87,The Eyes Are a Window To The Soul,prestonchick,2013-06-03 16:13:09,2013-06-03 16:19:28,"[portraits, girl, sigma50mm14, canon5dmk2]",11,0,49222790@N06,1042,1,2010-04-11 14:34:46,2010-04-11 14:14:02,119,UK
beautifulcapture,347276@N23,8940734773,88,Poker Face,BG images,2013-06-03 16:15:49,2013-06-03 16:19:19,[toysteddybearspokernikongames],12,2,79499655@N06,231,1,2012-04-28 18:28:50,2012-04-25 21:29:08,37,
beautifulcapture,347276@N23,8940750543,89,Lily of the Valley,BG images,2013-06-03 16:17:16,2013-06-03 16:19:18,[flowersnaturenikonontario],12,1,79499655@N06,231,1,2012-04-28 18:28:50,2012-04-25 21:29:08,37,
beautifulcapture,347276@N23,8939451855,90,Abelharuco / Merops apiaster / Bee-eater,JosBar,2013-06-03 14:25:42,2013-06-03 16:19:03,"[abelharuco, meropsapiaster, beeeater, montedodeserto]",41,6,59165737@N05,1856,1,2011-02-05 17:17:41,2011-02-05 15:54:05,115,"Sobreda de Caparica, Portugal"
beautifulcapture,347276@N23,8941279928,91,Bluebell Woods,gracust,2013-06-03 16:17:38,2013-06-03 16:17:49,"[bluebellwoods, bluebells, bluebell, colour]",11,1,60639349@N00,1628,1,2006-07-13 04:03:37,2006-07-13 03:50:59,190,England
beautifulcapture,347276@N23,8939469505,92,Papa-figos / Oriolus oriolus / Golden Oriole,JosBar,2013-06-03 14:25:33,2013-06-03 16:17:14,"[papafigos, oriolusoriolus, goldenoriole, beja]",40,5,59165737@N05,1856,1,2011-02-05 17:17:41,2011-02-05 15:54:05,115,"Sobreda de Caparica, Portugal"
beautifulcapture,347276@N23,8941293940,93,The fall of the house of Usher,Robert Abrahamsson,2013-06-03 16:10:30,2013-06-03 16:16:06,[],43,11,39439817@N08,321,1,2010-10-12 17:03:04,2009-06-12 15:27:43,1241,
beautifulcapture,347276@N23,8937877349,94,Rain,carlos_ar2000,2013-06-03 11:52:26,2013-06-03 16:15:50,"[lluvia, rain, ventana, window]",30,5,7673759@N03,8320,1,2007-04-05 20:07:41,2007-04-05 19:53:27,2355,"Buenos Aires, Argentina"
beautifulcapture,347276@N23,8924613779,95,"Hagia Sophia, Istanbul",viwehei,2013-06-02 10:18:36,2013-06-03 16:15:38,[],15,2,77507210@N00,2732,1,2006-04-12 12:05:24,2006-04-12 11:55:32,484,"Heidelberg, Germany"
beautifulcapture,347276@N23,8928054054,96,Lollipop Making,viwehei,2013-06-02 14:31:58,2013-06-03 16:15:37,[],7,1,77507210@N00,2732,1,2006-04-12 12:05:24,2006-04-12 11:55:32,484,"Heidelberg, Germany"
beautifulcapture,347276@N23,8940524623,97,Take some rest ...,robvanderwaal,2013-06-03 15:56:47,2013-06-03 16:14:36,"[2013, natuur, dieren, haas]",22,0,43548080@N03,1416,1,2011-01-15 16:10:26,2009-10-14 13:50:30,239,"Hellevoetsluis, Netherlands"
beautifulcapture,347276@N23,8902389475,98,Okehampton Castle,Janner Matt,2013-05-31 10:43:11,2013-06-03 16:13:09,[],15,1,76802308@N06,97,0,2012-04-02 11:41:39,2012-04-02 11:14:01,12,
beautifulcapture,347276@N23,8650535500,99,,hamsá,2013-04-14 18:23:25,2013-06-03 16:11:49,"[girl, beautiful, beauty, best]",139,4,75008814@N08,34,0,2012-01-22 13:06:16,2012-01-22 12:56:28,29,
beautifulcapture,347276@N23,8927822011,100,"Kluut in vlucht, avocet bird flying",veravanderwaal,2013-06-02 15:04:11,2013-06-03 16:11:08,"[2013, biesbosch, kluut, vliegend]",31,0,77408057@N08,266,1,2012-04-17 16:01:11,2012-04-17 15:57:43,4,the Netherlands
beautifulcapture,347276@N23,8676817906,101,,hamsá,2013-04-23 17:51:35,2013-06-03 16:10:59,"[aunt, canon, happiness, farm]",105,0,75008814@N08,34,0,2012-01-22 13:06:16,2012-01-22 12:56:28,29,
beautifulcapture,347276@N23,8941243100,102,_DSC2224,@stebarza,2013-06-03 16:05:49,2013-06-03 16:08:41,[],13,4,64322964@N04,121,1,2012-03-09 06:23:58,2011-06-21 06:03:15,25,
beautifulcapture,347276@N23,8807574046,103,Rustic,sirvad2,2013-05-23 17:27:28,2013-06-03 16:08:09,[],0,0,40518313@N07,1285,0,2009-07-16 15:22:12,2009-07-16 15:12:04,12,
beautifulcapture,347276@N23,7300400496,104,Project Squirrel,MTB1975,2012-05-30 02:29:07,2013-06-03 16:06:23,"[squirrel, animal, nature, highqualityanimals]",346,27,43843420@N04,595,1,2009-10-21 15:00:02,2009-10-21 14:53:58,123,"Chesterfield, UK"
beautifulcapture,347276@N23,8688722890,105,Montagne de Beynes,Amélia Photographies,2013-04-28 04:30:47,2013-06-03 16:05:47,"[montagne, moutain, couleurs, nuages]",156,14,84280541@N04,86,0,2012-08-05 03:55:11,2012-08-05 03:37:55,255,
beautifulcapture,347276@N23,8941158496,106,60D_10911_2_3_tonemapped_RAW_DPP_lens_JPG_photomatix_5_gimp_sharp,farbgeil,2013-06-03 16:00:23,2013-06-03 16:05:46,[],8,0,9378607@N05,57,0,2007-06-27 14:29:09,2007-06-27 14:17:08,60,
